ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,Spend,Duration of Ad,Impressions
f53bf47405d8fbef051844f78e9e8cc98ebc4f0bde4abfaee7639882f57384a0,https://www.snap.com/political-ads/asset/e4992f102109268d5d982f82cf660750feec99898fd9848fe6101e96981f428a?mediaType=mp4,USD,6824,934623,5-Jan-2021,5-Jan-2021,6824,0,934623
fb6615c027ddd69b155cc2f8f427a85509a287b4d5e729e0b41b2ba81c5c8b4c,https://www.snap.com/political-ads/asset/590f0a1ff9c6d776c6c5e03166bae3fb57bdba6a5cf2529e22724ca1d683f7b8?mediaType=mp4,USD,6823,1421090,17-Feb-2021,12-Mar-2021,6823,23,1421090
ba28e032dd7edbb1c1578f954a7b26540922a0bf3cbbc2335362b055f0229686,https://www.snap.com/political-ads/asset/6926d7fb7eb95cb0b33e08cc79b3dca25cf644a7f447d71f1f15db24bc8f0ea6?mediaType=mp4,CAD,6550,761735,1-Feb-2021,1-Apr-2021,6550,59,761735
50c50025c420053746677243b64cabba713a79422b750453b9ff91115173c8e4,https://www.snap.com/political-ads/asset/5fe09e57aa0d3229ebd28bce8059314120a7cfb0c082af355c94d0d4b6988677?mediaType=jpg,USD,6444,1510005,27-Oct-2020,1-May-2021,6444,186,1510005
753abff51eb72af285ad40208fd7f311bb4210a77c113d6ff09b2f614c121453,https://www.snap.com/political-ads/asset/5fe6bf8585f4a9c274b5bdda8f16f3671acfca19f8596f380faa567067cc1ec8?mediaType=jpg,USD,6159,1444357,27-Oct-2020,1-May-2021,6159,186,1444357
c4912b5d8f569de56d2567ce3dea2fc8c016c7bfa028ddff168da2c87deeec18,https://www.snap.com/political-ads/asset/942b3222249fa66453f301794af79610e093229591773d4a5687a3ec4a1aa6b8?mediaType=png,USD,6139,1365289,2-Feb-2021,15-Feb-2021,6139,13,1365289
975c9f9f02b31d5efb77ad86c0053506b47087628845cdc0e9f1cd2be7386ff5,https://www.snap.com/political-ads/asset/6901a8d0a307c1f43a4ed128857afd8e9ce266ee01c1eb9e71b083081d6a4d73?mediaType=png,USD,6137,1406653,2-Feb-2021,15-Feb-2021,6137,13,1406653
32e8a8af4761fb44783fae2eeb6e60b930ed9f12812fca516f3e83e236369908,https://www.snap.com/political-ads/asset/7e90d7272315d12b2286cc2571cd25057a8051c81f85a27ba64142f2a2024c9d?mediaType=jpg,USD,5751,1349066,27-Oct-2020,1-May-2021,5751,186,1349066
b9402d6267d752eb9d8cdd069936ebd1e23717b765c71437157845ec0e23d2f0,https://www.snap.com/political-ads/asset/a25c1a9e5343a5a070ec167069fd23b96bc4250af41030da8d5dc03da8c61f70?mediaType=mp4,USD,5457,1573095,12-Feb-2021,2-Mar-2021,5457,18,1573095
a0ced6860221faa485a9ca03646c6786da221b13f0723b4b025cc91632fa8a06,https://www.snap.com/political-ads/asset/3b3e28c56de8ccc8a5fb9aac89c5ee248d7640cf08e4c48c62e886752001a50c?mediaType=png,USD,5024,707029,9-Feb-2021,1-Mar-2021,5024,20,707029
2fe397451db090d634e1412905b25a6ac19dc982b00b759495d4ae0867a5503c,https://www.snap.com/political-ads/asset/4e41872da94186b7bc92f452283495ba9e63ff976fc95143de224faae01bed01?mediaType=mp4,USD,4821,1525702,16-Dec-2020,16-Feb-2021,4821,62,1525702
45bf3b5560b329156531d74d5c8e639533c70b0afc58f6b15c3c821005b1c685,https://www.snap.com/political-ads/asset/590f0a1ff9c6d776c6c5e03166bae3fb57bdba6a5cf2529e22724ca1d683f7b8?mediaType=mp4,USD,4550,922707,17-Feb-2021,12-Mar-2021,4550,23,922707
845b87581a1f018c7a9c0a390e082c9bb54f23141957cced632cbf5800510ca6,https://www.snap.com/political-ads/asset/3368b1cb0253a7f9ee6e82c5196913ff262b1bf191d14b53b31d300e9fe8fb43?mediaType=mp4,USD,4484,1002779,2-Mar-2021,4-Mar-2021,4484,2,1002779
f5b13a97c0f4ba9300721adcea05f409990c39bd60f149784aa3c0f87b30f575,https://www.snap.com/political-ads/asset/a25c1a9e5343a5a070ec167069fd23b96bc4250af41030da8d5dc03da8c61f70?mediaType=mp4,USD,4427,1207752,12-Feb-2021,2-Mar-2021,4427,18,1207752
321b2fee3f3fbd6a1f800a9c88172c42433acb985681540bbc123eb2c93fcdf6,https://www.snap.com/political-ads/asset/efd57cf291cbf878b38412ab19eace164f19191a998c0b2bbc1f06df68fc97f0?mediaType=png,USD,4200,1541131,8-Feb-2021,27-Feb-2021,4200,19,1541131
e1dc40659a3869da32a142009b77db94184f32a7858e91663e4603ad0b681804,https://www.snap.com/political-ads/asset/a25c1a9e5343a5a070ec167069fd23b96bc4250af41030da8d5dc03da8c61f70?mediaType=mp4,USD,4200,985381,12-Feb-2021,2-Mar-2021,4200,18,985381
b84be0379f6f208f3391161391fc17940e4a210ccd2853d16ed57fd4c44baf3e,https://www.snap.com/political-ads/asset/5ce53c371734c248d05c685deab34c3a3403ad77e9297c0e19f4ccc20161187f?mediaType=mp4,USD,4195,270196,3-Feb-2021,1-Mar-2021,4195,26,270196
c14132bea169ad08aa281bb355f02653e4f77b46871c2c625655a4ded68995d0,https://www.snap.com/political-ads/asset/51c47a2952ae16daca34056041a2a56381b40f8a6b88775dc67d505eb70bd36a?mediaType=png,USD,4177,707937,9-Feb-2021,1-Mar-2021,4177,20,707937
d71ea252877ea6a818a5d072c5d7ce35a85b3822a0e0744e981fb2d6ea954431,https://www.snap.com/political-ads/asset/4d820ff267d722aab6532b74db2761e7a8ff0c7fc093d3e7f7e93f44635df26d?mediaType=mp4,USD,4154,432043,15-Jan-2021,1-Feb-2021,4154,17,432043
a3b5f4e1c2e8b4f4326a8273dc8c618e87299f23b216957b949f66fa9f789a02,https://www.snap.com/political-ads/asset/8a8e008582d711b0f53fe95714d19e84d7e65ba7746c3cfda3fe208a7ecf28e8?mediaType=mp4,USD,4000,2086343,19-Feb-2021,28-Feb-2021,4000,9,2086343
4c43bba9938f6729c96c402bce980a3ac42f3859d03ccfbe8274c0c1faff2bb6,https://www.snap.com/political-ads/asset/8e7a18c50a40d27a113e6b9a47f47465e6fc1c2f92cc6de6d806885121e5665d?mediaType=mp4,USD,4000,2015470,16-Jan-2021,31-Jan-2021,4000,15,2015470
96f50aed0928461ffa87ed4698c219e7e92d1c05538033221a3dc7853354f6c9,https://www.snap.com/political-ads/asset/4d820ff267d722aab6532b74db2761e7a8ff0c7fc093d3e7f7e93f44635df26d?mediaType=mp4,USD,3921,406256,15-Jan-2021,1-Feb-2021,3921,17,406256
5df5df3b8c663d3a51b3fa81817fc77b9db321ad4dc34d368ffa944b819cd490,https://www.snap.com/political-ads/asset/4d820ff267d722aab6532b74db2761e7a8ff0c7fc093d3e7f7e93f44635df26d?mediaType=mp4,USD,3897,369073,17-Feb-2021,1-Apr-2021,3897,43,369073
333c71e65488e6012ed5a70e916c9550bacb5b0702538d48a91966c949b31e38,https://www.snap.com/political-ads/asset/4d820ff267d722aab6532b74db2761e7a8ff0c7fc093d3e7f7e93f44635df26d?mediaType=mp4,USD,3824,364200,18-Feb-2021,1-Apr-2021,3824,42,364200
82522791b88098cb540c06d5dd8602d1b419da53e98220e7ea0a1b592863e80f,https://www.snap.com/political-ads/asset/10612441240ef6dc7f5fe13cfd1a8b314b827a46d4de4b2d735a24ac3e81071e?mediaType=png,USD,3799,1090942,8-Feb-2021,27-Feb-2021,3799,19,1090942
35180769237668c18bf28ce3f6b6b9d9bddf3538811256b9ca87e84d7d32ff60,https://www.snap.com/political-ads/asset/10ececb518ca65ce87144e988cc35d479c7414156f8a0498f42ebf90b34b1b0b?mediaType=mp4,CAD,3784,439556,1-Feb-2021,1-Apr-2021,3784,59,439556
d6e222447d3a54b01c028aff7cb5a511b55b4f5049b6bef7a9fb36d1109a62d0,https://www.snap.com/political-ads/asset/5d7395539a400c852780347212b6f0c2bda514627480e6a7251d4a1309202364?mediaType=jpeg,USD,3626,1013458,6-Jan-2021,9-Jan-2021,3626,3,1013458
4d91bf8596a13d0a023435f400e3110ef4868d7026e114140de947dfe688ebbd,https://www.snap.com/political-ads/asset/5d7395539a400c852780347212b6f0c2bda514627480e6a7251d4a1309202364?mediaType=jpeg,USD,3588,1146954,6-Jan-2021,9-Jan-2021,3588,3,1146954
df2146c988b6a0de80cbd326129f4a5be2dae58902c16c0665a9bde7a58b48f6,https://www.snap.com/political-ads/asset/5d7395539a400c852780347212b6f0c2bda514627480e6a7251d4a1309202364?mediaType=jpeg,USD,3588,488493,6-Jan-2021,9-Jan-2021,3588,3,488493
cb94781d4f4948b598fa4b551b951810857e8855877032e3f8a0e6721bcffaa7,https://www.snap.com/political-ads/asset/104e321849ebeaaed05f6511ecc681d52fc1bfc817db373de8194e0e5f570bea?mediaType=png,USD,3518,1305894,17-Feb-2021,1-Apr-2021,3518,43,1305894
f9f0624cc4bd371db6163ba7879327fd03e33f49d11e3ea121d928202b598be6,https://www.snap.com/political-ads/asset/28569cf6d23552412410474bc5e7ffaab25c0d5bfba9024bdcf7601d01dc6a77?mediaType=jpg,USD,3513,1373483,29-Jan-2021,31-Jan-2021,3513,2,1373483
fb321e4607fd7dc04ac841100e48f15ba59cbe3ad04a626679352506940e253d,https://www.snap.com/political-ads/asset/a3c06379a8e9d89913e9d772868ba1f2208ec9b412312422e25a9d50c921e759?mediaType=mp4,USD,3410,297042,12-Feb-2021,2-Mar-2021,3410,18,297042
58f443d1ded9e9381cc3ed2709fc825f7728a8546b1e42167bec6ebe83685c0e,https://www.snap.com/political-ads/asset/0194e744948dd579dd69521b87429e4fcaa42cbbcc780760b11582c2420dd25e?mediaType=png,USD,3392,1221378,8-Feb-2021,27-Feb-2021,3392,19,1221378
941d7c3a4bc144335c7ac24a8193477fd3700b03e158a68a327ac8cf1f901167,https://www.snap.com/political-ads/asset/56ee021fadb638696082ea12a74300a7ace7668b465d0b2d2495dae4eb264acd?mediaType=mp4,CAD,3351,389408,1-Feb-2021,1-Apr-2021,3351,59,389408
7ea7af0dffc9e3c00cb0b4c426f1881f43456869d2bd71d62ecfd32c2a6cd75e,https://www.snap.com/political-ads/asset/da8582fad11e53d794ed35c859bc1eace06fa60b38e3ea62aaf2cc9a341c4546?mediaType=mp4,USD,3312,1165589,16-Dec-2020,16-Feb-2021,3312,62,1165589
227d7a546d4643c0d4143a1c800c7090e034e3fe675bee495530b5cd2bb5e54e,https://www.snap.com/political-ads/asset/9fb753e9cb5ad47b9e2151981cc634ad24279487deda76359afa04f788841ac9?mediaType=mp4,USD,3193,293781,1-Jan-2021,5-Jan-2021,3193,4,293781
